192.168.16.3 - - [28/Jun/2022:06:54:46 +0000] "GET / HTTP/1.0" 200 858 "-" "curl/7.74.0"
192.168.48.3 - - [28/Jun/2022:06:58:34 +0000] "GET / HTTP/1.0" 200 858 "-" "curl/7.74.0"
192.168.80.3 - - [28/Jun/2022:06:59:39 +0000] "GET / HTTP/1.0" 200 858 "-" "curl/7.74.0"
192.168.112.3 - - [28/Jun/2022:07:00:16 +0000] "GET / HTTP/1.0" 200 858 "-" "curl/7.74.0"
192.168.144.3 - - [28/Jun/2022:07:02:13 +0000] "GET / HTTP/1.0" 200 832 "-" "curl/7.74.0"
192.168.176.3 - - [28/Jun/2022:07:04:41 +0000] "GET / HTTP/1.0" 200 647 "-" "curl/7.74.0"
127.0.0.1 - - [28/Jun/2022:07:04:57 +0000] "GET / HTTP/1.1" 200 628 "-" "-"
192.168.176.3 - - [28/Jun/2022:07:04:57 +0000] "POST / HTTP/1.0" 200 1103 "-" "curl/7.74.0"
192.168.176.3 - - [28/Jun/2022:07:05:05 +0000] "POST / HTTP/1.0" 200 923 "-" "curl/7.74.0"
192.168.176.3 - - [28/Jun/2022:07:05:11 +0000] "POST / HTTP/1.0" 200 920 "-" "curl/7.74.0"
192.168.176.3 - - [28/Jun/2022:07:05:15 +0000] "POST / HTTP/1.0" 200 663 "-" "curl/7.74.0"
192.168.208.3 - - [28/Jun/2022:15:06:06 +0000] "GET / HTTP/1.0" 200 521 "-" "Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.7113.93 Safari/537.36"
192.168.208.3 - - [28/Jun/2022:15:06:06 +0000] "GET /back.css HTTP/1.0" 200 148048 "http://185.98.82.101:8000/" "Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.7113.93 Safari/537.36"
192.168.208.3 - - [28/Jun/2022:15:06:07 +0000] "GET /favicon.ico HTTP/1.0" 404 450 "http://185.98.82.101:8000/" "Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.7113.93 Safari/537.36"
192.168.208.3 - - [28/Jun/2022:15:06:54 +0000] "GET / HTTP/1.0" 200 521 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36"
192.168.208.3 - - [28/Jun/2022:15:06:54 +0000] "GET /back.css HTTP/1.0" 200 148048 "http://185.98.82.101:8000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36"
192.168.208.3 - - [28/Jun/2022:15:06:54 +0000] "GET /favicon.ico HTTP/1.0" 404 450 "http://185.98.82.101:8000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36"
192.168.208.3 - - [28/Jun/2022:15:07:04 +0000] "POST / HTTP/1.0" 200 521 "http://185.98.82.101:8000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36"
192.168.208.3 - - [28/Jun/2022:15:07:05 +0000] "POST / HTTP/1.0" 200 521 "http://185.98.82.101:8000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36"
192.168.208.3 - - [28/Jun/2022:15:07:05 +0000] "POST / HTTP/1.0" 200 521 "http://185.98.82.101:8000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36"
192.168.208.3 - - [28/Jun/2022:15:07:05 +0000] "POST / HTTP/1.0" 200 521 "http://185.98.82.101:8000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36"
192.168.208.3 - - [28/Jun/2022:15:07:17 +0000] "GET /robots.tx HTTP/1.0" 404 450 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36"
192.168.208.3 - - [28/Jun/2022:15:07:20 +0000] "GET /robots.txt HTTP/1.0" 200 280 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36"
192.168.208.3 - - [28/Jun/2022:15:07:26 +0000] "GET /flag.txt HTTP/1.0" 404 450 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36"
192.168.208.3 - - [28/Jun/2022:15:07:43 +0000] "GET / HTTP/1.0" 200 521 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36"
192.168.208.3 - - [28/Jun/2022:15:08:07 +0000] "POST / HTTP/1.0" 200 521 "http://185.98.82.101:8000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36"
192.168.208.3 - - [28/Jun/2022:15:08:42 +0000] "POST / HTTP/1.0" 200 544 "http://185.98.82.101:8000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36"
